what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389176102658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389176113497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176133515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176133794
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1389176136785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389176146399
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1389176146455
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1389176146706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176146906
error,log,,,"SVN: 'Load Authorization Info' operation finished with error",1389176148953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176149136
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389176150567
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389176209509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176259007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176260427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389176267411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389176269092
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389176276912
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389176293059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389176321533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176323290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176354970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176368291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176373656
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389176375884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176427348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176831147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176874854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176888048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389176897268
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177051585
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1389177051709
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389177055915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177057019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177089414
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1389177089476
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389177122600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389177124742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177136714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177207485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177216835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177219482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389177254414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1389177257233
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389177262872
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389177263044
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389177263223
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389177263362
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1389177263608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389177266815
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389177270983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177312278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389177954170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1389177962137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389177990439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389178055553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178087952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178091792
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389178102819
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1389178135244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178140600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178140898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178177312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178189896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178237676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178239858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389178251421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178389515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178423115
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1389178536554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178541453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1389178563242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1389178566391
